tenure_months,monthly_spend,support_tickets,contract,region,churn
47,78.96,4,annual,south,yes
53,123.23,4,monthly,south,yes
39,118.71,2,two_year,west,no
29,134.96,4,monthly,south,yes
4,78.44,4,monthly,west,yes
54,115.6,5,annual,east,yes
23,134.06,4,two_year,north,yes
11,120.75,0,two_year,west,no
20,60.52,5,annual,east,yes
62,108.71,0,annual,east,no
61,105.38,1,annual,north,no
3,136.33,3,annual,west,yes
6,100.83,6,two_year,west,yes
10,51.2,1,two_year,north,no
32,26.05,0,monthly,north,no
51,42.62,4,monthly,south,yes
31,85.42,1,monthly,south,no
53,29.44,7,two_year,east,yes
5,31.8,3,annual,west,yes
65,69.19,3,monthly,east,yes
37,38.33,6,monthly,east,yes
17,125.75,6,two_year,south,yes
47,101.75,2,annual,south,yes
3,81.15,4,monthly,north,yes
40,109.77,3,two_year,east,no
57,82.78,7,two_year,north,yes
14,108.26,5,monthly,east,yes
64,108.71,0,two_year,west,no
13,106.76,6,annual,east,yes
25,77.22,0,two_year,north,no
51,94.78,3,monthly,west,yes
3,69.42,0,monthly,south,no
70,101.22,4,two_year,north,yes
66,136.6,7,two_year,east,yes
59,111.03,2,monthly,south,no
48,109.0,1,monthly,north,no
16,107.89,3,annual,south,yes
12,45.94,1,annual,north,yes
20,42.54,2,monthly,east,no
46,38.25,6,annual,west,no
50,93.45,5,two_year,east,yes
3,64.53,1,monthly,east,yes
8,93.26,6,two_year,west,yes
52,65.12,2,annual,south,yes
22,71.51,6,monthly,east,yes
58,99.94,0,monthly,north,no
25,101.58,4,two_year,east,yes
4,30.91,8,two_year,north,yes
41,94.73,1,two_year,west,no
55,133.46,6,two_year,north,yes
19,95.94,4,annual,west,yes
57,130.89,5,monthly,west,yes
62,27.51,1,annual,east,no
58,58.31,3,annual,north,no
1,107.74,1,annual,south,yes
29,131.69,6,two_year,north,yes
35,136.43,0,annual,south,no
38,66.91,3,monthly,south,yes
68,29.54,1,annual,north,no
71,36.33,4,monthly,north,no
64,66.11,0,monthly,west,no
16,62.75,7,annual,south,yes
40,43.35,2,monthly,east,yes
46,136.37,2,monthly,south,yes
53,35.45,4,annual,east,no
42,115.62,6,monthly,west,yes
4,86.88,0,annual,north,no
70,71.78,6,two_year,north,yes
31,86.2,0,monthly,north,no
29,66.52,0,annual,south,no
32,61.19,6,two_year,west,yes
32,58.5,0,annual,north,no
27,136.37,6,two_year,south,yes
18,28.24,1,two_year,south,no
52,56.49,7,monthly,west,yes
41,104.79,3,monthly,north,yes
37,41.85,4,annual,west,no
11,82.24,4,two_year,south,yes
51,84.9,4,two_year,north,yes
49,26.76,5,monthly,west,yes
55,83.86,3,two_year,north,yes
12,92.95,6,two_year,south,yes
72,96.87,2,monthly,south,yes
60,86.0,3,monthly,east,yes
5,36.09,5,two_year,west,yes
8,91.07,0,monthly,north,no
19,138.42,6,annual,west,yes
72,43.48,5,two_year,west,no
51,112.97,6,two_year,south,yes
53,107.45,5,two_year,north,yes
49,81.41,2,annual,south,no
56,90.6,2,monthly,east,yes
9,113.01,6,two_year,east,yes
67,95.44,7,two_year,west,yes
59,32.67,8,two_year,south,yes
13,95.9,5,two_year,west,yes
27,75.14,4,annual,south,yes
42,33.49,6,annual,south,yes
48,124.71,5,two_year,west,yes
12,134.35,5,two_year,north,yes
57,59.41,8,annual,south,yes
48,101.93,1,annual,west,no
64,39.47,1,annual,east,no
38,96.1,0,annual,west,no
33,43.25,8,annual,west,yes
18,74.37,6,monthly,west,yes
40,124.03,7,annual,east,yes
39,89.11,5,annual,west,no
60,43.93,8,annual,east,yes
9,63.81,0,annual,north,no
63,115.3,7,two_year,west,yes
39,126.82,6,annual,east,yes
43,56.05,1,monthly,west,no
14,139.18,0,annual,west,yes
63,68.07,3,monthly,east,yes
50,60.13,1,annual,east,no
58,89.95,4,two_year,south,no
8,89.56,0,two_year,north,no
10,46.99,6,two_year,east,yes
15,96.36,7,monthly,north,yes
12,65.14,5,annual,north,yes
12,125.56,6,monthly,south,yes
6,57.72,0,monthly,north,no
13,46.55,6,monthly,west,yes
71,84.53,1,monthly,north,no
7,26.05,6,monthly,east,yes
1,76.94,1,monthly,south,no
51,115.46,1,monthly,north,yes
35,34.09,5,monthly,north,yes
68,31.14,3,monthly,south,no
