amount,hour,country_type,device_age_days,txn_velocity_24h,fraud
44.4,3,local,604,8,no
193.13,21,local,602,7,no
31.72,6,local,160,11,no
115.25,3,local,752,6,no
50.67,2,local,711,8,no
19.15,18,local,103,3,no
280.86,6,local,820,5,no
7.13,5,local,416,3,no
103.48,7,local,274,3,no
33.05,9,local,97,11,no
13.77,18,local,54,2,no
224.12,15,local,850,12,no
6.01,19,foreign,318,10,no
124.74,8,local,172,9,no
84.96,21,local,392,6,no
6.56,12,local,535,1,no
60.41,4,foreign,696,11,no
98.89,0,foreign,726,3,no
54.68,10,local,681,2,no
59.17,19,local,574,6,no
75.68,17,local,467,4,no
34.33,12,foreign,617,8,no
54.11,5,local,661,3,no
190.7,13,foreign,578,4,no
124.16,6,local,628,6,no
36.18,0,foreign,486,12,no
30.3,8,foreign,343,8,no
10.9,3,local,53,10,no
210.3,17,local,310,11,no
92.19,1,foreign,401,3,no
62.72,17,foreign,634,10,no
70.34,0,local,446,11,no
91.12,10,local,672,12,no
67.4,6,local,824,7,no
107.56,3,foreign,488,1,no
171.24,14,local,381,7,no
81.86,0,local,771,11,no
92.43,23,foreign,815,7,no
96.57,20,local,816,8,no
17.74,14,local,840,11,no
158.2,18,foreign,216,2,no
59.96,10,local,717,10,no
24.03,0,foreign,373,9,no
86.12,20,local,386,2,no
13.98,17,foreign,197,5,no
239.29,18,local,317,3,no
20.11,19,local,579,5,no
82.41,16,local,164,10,no
201.2,20,local,626,9,no
108.57,9,local,723,10,no
83.43,14,local,9,5,no
70.17,11,foreign,223,6,no
126.51,4,foreign,534,12,no
24.5,1,local,860,9,no
56.19,16,local,833,9,no
19.16,9,local,702,12,no
129.08,17,local,872,4,no
301.67,19,local,81,12,no
47.95,0,local,37,5,no
21.46,5,local,878,12,no
150.28,11,local,392,5,no
105.0,10,local,512,12,no
74.69,10,local,411,9,no
83.7,16,local,3,10,no
109.69,23,local,739,6,no
22.65,0,local,236,8,no
14.87,17,local,294,4,no
347.15,11,local,780,9,no
218.68,22,local,703,8,no
86.38,8,foreign,348,9,no
182.18,7,local,645,11,no
266.1,4,local,798,6,no
33.08,0,foreign,291,3,no
48.93,15,local,443,2,no
19.79,12,local,242,4,no
80.59,19,local,384,4,no
34.79,19,local,815,10,no
124.78,13,local,647,6,no
248.45,19,foreign,328,7,no
17.67,13,local,834,3,no
57.44,7,foreign,37,11,no
170.53,20,local,98,7,no
121.25,6,foreign,429,5,no
13.84,5,local,26,6,no
178.57,18,local,531,3,no
36.13,5,local,106,10,no
21.66,15,local,188,5,no
29.22,11,local,716,3,no
11.94,6,local,693,3,no
97.67,15,local,893,12,no
188.62,19,foreign,772,12,no
48.33,15,local,109,8,no
36.15,15,local,354,10,no
173.52,6,local,521,2,no
73.37,13,local,350,7,no
107.39,19,local,414,2,no
139.28,18,local,160,4,no
15.24,15,foreign,177,10,no
22.29,2,local,292,1,no
13.81,8,local,731,12,no
19.24,11,foreign,734,6,no
36.36,14,local,722,5,no
150.61,6,local,780,10,no
79.26,13,local,614,3,no
19.36,1,local,105,7,no
41.49,14,local,462,7,no
36.4,14,local,876,1,no
11.26,11,foreign,518,10,no
279.74,9,foreign,744,8,yes
109.74,3,local,506,4,no
239.86,1,local,475,7,no
