sqft,bedrooms,home_age,neighborhood,garage,price
3048,6,31,central,two,732000.87
2271,6,73,university,one,468048.85
2712,3,30,riverside,none,617249.97
3013,1,41,university,none,582812.0
3404,5,85,suburban,two,657399.55
3753,1,4,suburban,one,752144.2
4081,6,92,suburban,none,760641.32
1506,2,45,central,none,365448.51
2002,3,3,riverside,two,533132.61
2694,1,47,central,none,573711.98
2462,2,69,industrial,two,443371.41
3827,5,18,university,one,845418.64
1652,6,68,university,none,354776.34
1438,6,32,central,none,448925.86
2270,2,89,industrial,one,314379.13
2220,6,71,industrial,one,350987.67
2934,5,23,central,two,717355.09
4138,2,31,university,one,895250.49
3254,6,88,university,none,697964.32
3222,2,74,industrial,one,503068.96
2195,3,70,suburban,one,440160.73
2933,2,87,industrial,one,496503.71
2064,2,88,industrial,none,334974.43
2405,6,46,university,none,562506.43
2921,5,61,university,one,645502.91
1078,1,59,industrial,none,193126.34
3580,1,16,central,none,782737.96
2903,2,22,central,none,692335.77
963,5,2,central,two,373515.62
2622,1,80,industrial,two,472716.44
936,6,83,industrial,none,201875.14
4057,1,34,riverside,none,793279.72
3988,2,23,industrial,two,848973.03
1836,3,13,riverside,one,530727.41
1087,6,54,central,none,268416.67
1790,5,3,riverside,none,487876.39
2382,1,38,suburban,two,531205.4
2007,3,50,suburban,one,444372.39
3136,5,15,industrial,none,613666.71
3216,2,88,suburban,one,546559.05
1580,5,22,central,none,486950.62
3471,3,46,industrial,none,612921.21
1270,4,17,suburban,none,378316.54
1645,5,14,central,two,486786.8
1954,5,55,industrial,two,396449.12
4058,3,43,university,none,848287.97
3941,1,77,industrial,two,659897.31
1865,6,61,riverside,none,440980.83
2570,4,34,riverside,one,591852.73
2257,4,83,riverside,one,481632.29
2592,6,2,university,none,590397.44
2326,3,65,university,two,538035.44
1574,4,55,suburban,none,315337.72
3950,5,43,riverside,none,850526.95
3350,3,23,riverside,none,778123.12
4166,5,56,suburban,two,821407.7
1169,3,17,university,two,353940.53
4003,5,82,university,two,809042.42
1195,2,34,suburban,one,224018.76
2309,5,61,suburban,none,456422.98
3971,4,87,riverside,none,778023.88
1824,6,24,central,none,562556.15
4032,4,40,industrial,none,849853.71
2328,4,89,suburban,none,466576.08
2770,6,8,industrial,one,616835.54
2594,3,59,riverside,two,562583.0
3850,5,95,suburban,two,740747.86
1828,5,45,suburban,one,471902.34
2620,4,69,industrial,one,480230.42
919,1,41,central,two,302669.72
1824,3,27,riverside,one,477516.89
1958,2,32,central,one,498463.59
2837,5,38,industrial,one,539325.35
1980,2,3,riverside,two,541501.66
3368,4,9,riverside,two,795373.87
991,4,41,university,none,252599.35
3659,4,84,suburban,one,672808.98
1042,4,89,university,one,271082.24
2337,4,34,suburban,two,516521.01
1271,4,91,industrial,none,138583.02
2688,2,47,riverside,one,511427.98
3366,2,56,suburban,none,588629.3
3779,1,39,riverside,one,802396.22
3492,2,8,industrial,two,724095.43
2063,4,22,industrial,one,440120.04
2587,3,63,riverside,one,569604.01
2229,1,82,central,none,466230.99
3722,2,47,central,one,782501.6
897,5,81,suburban,one,162102.53
1994,3,80,riverside,one,446441.74
656,4,18,suburban,two,251630.91
2657,6,43,suburban,none,594187.39
