fixed_acidity,residual_sugar,alcohol,sulphates,color,quality
8.44,4.48,9.54,0.97,red,low
9.32,7.73,12.11,0.49,red,medium
6.39,1.25,13.87,0.58,white,high
8.97,6.68,10.58,0.61,red,medium
5.71,2.23,10.95,0.48,red,low
8.72,7.07,11.62,0.5,red,high
5.27,8.2,8.27,0.54,red,medium
5.17,7.84,10.59,1.02,red,medium
6.3,5.43,9.59,0.51,red,medium
5.82,7.66,14.5,0.92,red,high
6.48,3.98,10.34,0.5,white,low
8.41,1.04,10.14,0.87,white,medium
8.84,5.74,10.25,1.05,white,low
6.62,8.75,12.58,1.01,white,high
7.84,6.62,8.01,0.6,white,low
6.84,2.12,9.71,0.72,red,low
9.35,8.26,12.13,0.36,white,medium
5.93,7.17,13.2,0.6,white,high
6.24,7.68,11.79,0.87,red,high
5.62,5.63,9.97,0.73,red,low
9.4,5.52,13.98,0.63,red,high
5.32,6.44,10.12,1.05,white,medium
6.53,8.79,12.91,0.71,white,high
7.99,5.4,10.16,1.12,white,low
7.97,2.93,11.43,1.17,red,high
6.09,4.15,9.74,0.71,red,medium
8.83,6.22,11.35,0.88,red,low
7.38,2.74,8.8,0.35,red,low
6.49,3.3,14.13,0.95,red,high
7.92,6.25,14.16,0.46,red,medium
8.63,4.66,11.67,1.04,white,high
5.56,6.99,10.78,1.11,white,medium
6.57,2.48,11.41,0.96,white,medium
8.59,4.61,10.06,0.71,white,medium
5.33,8.85,10.96,0.73,red,medium
6.73,4.82,13.88,0.34,white,medium
9.28,6.41,13.41,0.89,red,medium
7.37,4.63,10.13,1.05,red,high
5.35,7.19,8.12,0.64,red,medium
4.97,7.54,8.32,1.06,white,medium
6.05,3.95,10.23,0.39,white,low
6.21,3.52,13.49,0.9,red,high
4.97,5.02,11.08,0.69,red,high
6.61,5.96,11.27,0.47,white,low
8.28,8.73,9.99,0.38,red,medium
9.02,8.76,8.4,0.75,white,low
8.42,4.71,12.05,0.8,white,low
7.28,3.26,12.15,0.61,red,high
6.8,7.55,13.73,0.87,red,high
4.96,6.35,10.85,0.44,red,medium
7.0,5.23,8.21,0.58,red,low
7.6,4.0,13.02,1.12,white,high
7.53,3.6,10.99,1.13,white,medium
9.28,1.93,8.77,0.89,white,low
4.89,7.25,9.14,0.39,white,medium
7.2,4.98,12.6,0.74,white,medium
8.0,4.43,10.17,0.42,white,low
5.47,8.07,11.73,0.8,white,medium
5.86,4.5,12.91,1.0,red,high
5.01,5.59,10.77,0.52,white,low
4.86,8.37,9.92,0.5,red,medium
7.18,5.17,9.43,1.0,red,low
7.28,1.56,9.58,0.93,white,low
7.91,7.22,9.95,0.34,red,low
5.92,7.73,9.55,0.94,white,low
6.19,8.96,8.43,0.34,red,low
7.95,1.69,8.94,1.09,red,medium
8.47,8.66,10.22,0.65,red,medium
7.32,6.97,11.31,0.86,red,low
9.18,2.73,10.26,0.32,white,low
6.09,3.6,14.19,0.31,red,high
8.0,3.5,8.32,0.32,red,low
6.97,3.6,14.23,1.17,white,high
5.68,6.76,11.27,0.8,white,medium
9.26,0.94,9.27,1.08,red,medium
6.17,4.97,11.04,0.47,white,low
6.71,6.01,12.64,1.03,white,high
6.04,1.31,12.02,0.6,white,medium
7.58,2.41,10.12,0.7,white,low
9.35,4.18,13.53,0.32,red,high
8.41,4.84,8.46,1.02,white,low
4.98,8.78,12.54,0.59,red,high
7.28,3.93,13.55,1.07,red,high
6.93,5.03,12.17,0.38,white,low
5.68,1.76,10.12,0.3,red,low
6.22,0.81,9.42,0.44,white,medium
5.72,6.56,10.31,0.8,white,low
9.34,6.79,13.49,0.96,white,high
9.47,8.81,8.29,1.19,white,low
8.63,1.17,11.67,0.64,red,medium
6.83,5.87,11.71,1.17,red,high
5.42,3.52,12.58,0.79,red,high
9.35,6.78,10.95,0.75,red,low
7.86,8.98,8.47,1.09,white,low
5.42,7.56,13.53,0.52,red,high
8.12,6.13,13.71,0.36,white,medium
7.07,7.53,14.04,1.01,red,medium
8.13,1.38,14.31,0.49,white,high
9.41,1.94,12.92,0.56,white,medium
6.76,4.58,11.66,1.17,red,medium
7.65,2.73,10.55,0.43,red,medium
8.22,7.58,9.74,0.78,white,medium
6.24,1.55,10.45,0.44,white,medium
5.66,7.14,14.45,0.78,white,high
6.21,1.22,9.98,0.56,red,medium
8.51,1.88,13.26,0.48,red,medium
8.91,2.43,11.8,0.78,red,medium
8.39,5.55,9.13,0.97,white,low
8.95,1.86,9.49,0.66,white,low
6.55,6.35,13.13,1.01,red,medium
6.71,3.31,14.38,0.71,red,high
7.6,1.5,9.64,0.82,white,low
6.56,4.13,9.35,0.77,white,medium
8.37,2.44,9.52,0.68,white,low
6.76,6.37,11.28,1.19,white,medium
8.54,2.31,14.24,1.18,red,high
7.13,5.74,13.95,0.4,white,medium
6.26,6.09,11.53,0.31,white,medium
9.42,2.92,12.26,0.67,white,medium
5.35,7.18,14.27,0.79,white,high
9.4,7.99,11.87,0.46,white,medium
6.14,7.21,9.25,1.0,red,low
9.09,2.25,10.68,0.82,white,low
7.05,5.29,8.7,0.9,red,low
5.47,8.9,9.79,0.42,white,low
8.92,3.41,14.01,0.49,red,high
5.28,3.31,13.62,0.51,white,high
9.3,6.24,9.62,1.19,red,medium
5.22,4.71,10.08,0.69,red,medium
7.36,5.45,14.09,0.32,red,high
8.88,6.81,10.97,0.73,white,low
9.1,1.06,14.17,0.5,white,high
5.41,5.79,9.02,0.98,red,low
8.54,8.31,8.41,0.36,red,low
8.11,1.84,12.38,0.88,red,medium
7.62,3.28,9.59,1.13,white,low
5.78,9.0,13.22,0.71,red,high
7.04,7.01,13.71,0.57,red,medium
6.03,1.39,10.13,0.99,white,high
7.43,1.59,11.13,0.59,red,medium
7.57,1.15,9.08,0.83,red,low
5.34,6.4,9.81,0.82,red,medium
8.94,6.79,14.05,1.09,red,high
8.24,4.9,10.68,0.56,red,medium
8.14,2.15,13.81,0.61,white,high
9.15,8.96,8.22,0.32,red,low
8.4,5.39,11.82,0.47,red,medium
8.58,7.47,11.25,1.02,white,low
6.7,1.28,11.6,0.62,white,high
9.21,1.24,13.55,0.62,white,medium
5.58,4.74,11.15,0.99,white,medium
5.44,2.01,9.42,0.5,red,low
5.29,8.49,9.22,1.09,white,medium
6.02,4.38,9.9,0.32,white,low
5.94,8.48,9.22,0.5,red,medium
9.28,8.63,10.79,0.92,white,medium
6.98,7.9,13.0,0.33,red,high
7.66,1.5,13.27,0.38,white,medium
6.23,4.68,10.13,0.69,white,medium
5.85,7.45,13.6,0.52,red,high
8.18,7.46,13.03,0.59,red,medium
6.32,5.68,8.6,0.31,white,low
6.5,7.14,11.53,1.18,red,high
5.82,5.1,10.94,0.38,white,low
7.14,3.47,12.05,0.31,white,medium
5.81,4.86,12.05,0.62,white,medium
5.39,3.46,12.38,0.84,red,high
4.89,7.25,10.13,0.62,red,medium
9.01,1.35,12.81,0.38,red,high
9.29,8.52,10.13,0.9,white,medium
8.51,4.76,12.07,0.91,white,medium
4.89,5.46,9.6,1.0,red,high
7.65,3.59,13.75,1.16,red,high
4.82,2.53,8.86,0.32,red,low
9.04,3.23,9.85,0.41,red,medium
7.61,3.88,8.58,0.59,red,low
4.85,4.11,9.98,0.71,white,medium
7.84,5.76,11.55,0.65,white,medium
7.4,5.51,14.04,0.31,red,medium
8.96,8.59,10.83,0.81,red,low
5.46,2.92,12.09,0.82,red,high
8.92,4.16,9.37,0.34,white,low
8.29,5.34,12.33,0.67,red,medium
8.38,1.88,9.19,0.44,red,medium
8.45,4.49,14.2,1.06,red,medium
7.52,6.42,8.56,0.55,red,low
5.43,2.15,8.44,0.93,red,medium
7.72,5.58,11.9,0.4,white,medium
6.34,7.43,11.02,0.97,white,medium
6.65,4.67,12.42,0.86,red,high
8.17,8.6,14.23,0.33,red,high
9.07,8.38,10.39,0.39,white,low
5.27,3.86,8.33,0.73,white,low
8.36,1.5,10.09,1.08,red,medium
5.37,6.94,13.16,0.65,white,high
6.45,1.63,9.8,0.31,white,low
8.1,3.27,11.67,0.95,white,medium
8.16,2.77,9.51,1.01,red,medium
6.97,5.62,8.43,0.5,red,low
6.39,5.99,9.64,0.95,red,medium
8.1,1.37,12.8,0.77,red,medium
8.94,5.5,10.3,0.31,white,medium
5.73,1.73,13.4,0.85,red,high
9.46,7.84,13.11,0.73,white,high
6.02,0.85,10.27,0.65,white,medium
9.49,4.79,8.26,0.53,white,low
6.76,3.82,11.02,0.52,red,medium
9.17,4.97,12.64,0.59,red,high
